file1,file2,text_score
107947.json,008753.json,
109802.json,080513.json,
095266.json,067909.json,
057190.json,086411.json,
008991.json,035861.json,
099209.json,030336.json,
031915.json,004169.json,
105638.json,121249.json,
109029.json,000932.json,
090384.json,111743.json,
030666.json,078729.json,
009945.json,118298.json,
053912.json,044175.json,
011206.json,003668.json,
040321.json,000411.json,
045137.json,099737.json,
091510.json,032104.json,
079924.json,025902.json,
074687.json,018615.json,
060980.json,056153.json,
027766.json,011129.json,
076936.json,038765.json,
101239.json,052421.json,
017440.json,058531.json,
066677.json,085281.json,
043202.json,012539.json,
111091.json,097288.json,
120003.json,032475.json,
052560.json,105286.json,
060096.json,084808.json,
040206.json,102457.json,
062881.json,071108.json,
023018.json,061191.json,
106031.json,000203.json,
052541.json,111599.json,
057875.json,022479.json,
042437.json,094790.json,
024188.json,035721.json,
020629.json,101004.json,
000525.json,047620.json,
088715.json,021018.json,
076483.json,020644.json,
085003.json,032592.json,
011648.json,048696.json,
012184.json,080592.json,
091801.json,069426.json,
101418.json,039672.json,
024922.json,058433.json,
073121.json,091867.json,
101153.json,040986.json,
048580.json,022816.json,
096494.json,081522.json,
076384.json,060520.json,
004481.json,034248.json,
120769.json,012370.json,
069850.json,083262.json,
063441.json,095006.json,
097804.json,095823.json,
098587.json,116253.json,
061748.json,014013.json,
115740.json,110159.json,
114047.json,107216.json,
078542.json,074167.json,
041297.json,015870.json,
043038.json,092484.json,
009526.json,014743.json,
099370.json,003253.json,
104828.json,038274.json,
019507.json,106073.json,
105100.json,117065.json,
054509.json,033209.json,
009959.json,037446.json,
007642.json,037272.json,
096082.json,103405.json,
034155.json,105811.json,
082245.json,001796.json,
038691.json,010425.json,
119995.json,033488.json,
079655.json,100387.json,
015861.json,108395.json,
076713.json,048251.json,
085584.json,121335.json,
041467.json,105077.json,
010365.json,105672.json,
064801.json,005235.json,
013090.json,062828.json,
062514.json,057235.json,
005200.json,015702.json,
095313.json,115150.json,
121022.json,090556.json,
069273.json,091992.json,
108524.json,103242.json,
013532.json,071919.json,
044225.json,076448.json,
053094.json,072938.json,
119609.json,003494.json,
070735.json,067961.json,
105108.json,001405.json,
087828.json,083555.json,
105032.json,099229.json,
052051.json,106639.json,
022158.json,094977.json,
097522.json,074660.json,
037007.json,048824.json,
068880.json,092139.json,
118611.json,007993.json,
029427.json,042634.json,
024052.json,055526.json,
051941.json,061756.json,
039721.json,009531.json,
098924.json,086594.json,
112936.json,087087.json,
052970.json,097029.json,
023967.json,002878.json,
115671.json,058490.json,
081998.json,015512.json,
034959.json,060512.json,
086407.json,017933.json,
052210.json,001307.json,
052558.json,042608.json,
078237.json,033569.json,
091093.json,093894.json,
011693.json,042574.json,
039587.json,014605.json,
032358.json,048004.json,
003205.json,001110.json,
103003.json,024944.json,
081355.json,033883.json,
003594.json,101345.json,
002735.json,082796.json,
002444.json,113892.json,
002001.json,050630.json,
098674.json,062089.json,
114852.json,038933.json,
002674.json,027689.json,
082972.json,009115.json,
046820.json,067427.json,
006573.json,032850.json,
061085.json,118561.json,
065009.json,057231.json,
085010.json,087540.json,
078952.json,086678.json,
029847.json,092697.json,
104694.json,069650.json,
041714.json,025438.json,
070187.json,120972.json,
048854.json,091349.json,
036988.json,120136.json,
088124.json,076171.json,
018396.json,014128.json,
050387.json,117614.json,
051147.json,028237.json,
079218.json,044262.json,
071644.json,011822.json,
009325.json,039044.json,
081577.json,043955.json,
110121.json,010837.json,
108083.json,114835.json,
114107.json,019588.json,
111407.json,018178.json,
012938.json,115519.json,
106982.json,037201.json,
022354.json,055540.json,
102827.json,009769.json,
093395.json,028242.json,
107884.json,065517.json,
061818.json,110462.json,
045009.json,086442.json,
119360.json,087035.json,
027633.json,088267.json,
064915.json,004089.json,
112460.json,090111.json,
067906.json,021789.json,
049746.json,030977.json,
031742.json,106638.json,
000641.json,082524.json,
019730.json,014219.json,
089704.json,065633.json,
035969.json,025735.json,
083640.json,050753.json,
021520.json,044048.json,
018582.json,008437.json,
040187.json,035377.json,
057293.json,002919.json,
094503.json,115960.json,
094899.json,012038.json,
041446.json,001486.json,
040276.json,059630.json,
034612.json,039076.json,
026894.json,069233.json,
068919.json,031376.json,
120399.json,083439.json,
055639.json,103953.json,
070764.json,017976.json,
059676.json,081174.json,
071665.json,049671.json,
051894.json,087904.json,
025367.json,111941.json,
112046.json,060312.json,
031184.json,117979.json,
029919.json,055970.json,
106450.json,121414.json,
019526.json,047583.json,
101754.json,014641.json,
045143.json,082533.json,
063524.json,030398.json,
098913.json,032659.json,
052494.json,080239.json,
052245.json,086454.json,
114193.json,051856.json,
017922.json,077032.json,
004152.json,120510.json,
030775.json,019418.json,
028597.json,056824.json,
064041.json,058380.json,
061596.json,003323.json,
031746.json,108720.json,
076324.json,049118.json,
054607.json,066238.json,
050921.json,046463.json,
072304.json,071209.json,
032111.json,042353.json,
074072.json,009911.json,
094397.json,071053.json,
044634.json,023506.json,
095739.json,006225.json,
119342.json,091608.json,
080639.json,112063.json,
081979.json,023663.json,
083674.json,099588.json,
014310.json,110322.json,
115294.json,078224.json,
110491.json,118687.json,
006120.json,055874.json,
095368.json,010353.json,
056135.json,111163.json,
113288.json,032902.json,
069109.json,118510.json,
060351.json,061648.json,
100205.json,007278.json,
054460.json,037888.json,
001684.json,114978.json,
050156.json,005757.json,
056570.json,042567.json,
068920.json,074421.json,
092060.json,020919.json,
032161.json,112778.json,
031468.json,066122.json,
105007.json,103223.json,
004068.json,048409.json,
054377.json,009674.json,
075209.json,052867.json,
119961.json,086929.json,
068646.json,117653.json,
078302.json,014995.json,
036496.json,009467.json,
094167.json,069221.json,
070746.json,104185.json,
010987.json,101441.json,
037048.json,004885.json,
089036.json,078999.json,
059198.json,054899.json,
112948.json,080281.json,
008619.json,008633.json,
097746.json,036418.json,
121297.json,024029.json,
019641.json,038473.json,
006876.json,085020.json,
076571.json,090639.json,
066113.json,101242.json,
110449.json,117135.json,
000743.json,038728.json,
054468.json,068863.json,
109664.json,030561.json,
004834.json,076380.json,
038605.json,079451.json,
081177.json,015262.json,
077224.json,092051.json,
114470.json,038301.json,
078130.json,100640.json,
077099.json,093867.json,
034487.json,083724.json,
025134.json,104154.json,
091919.json,015118.json,
030300.json,056993.json,
061126.json,106433.json,
073984.json,039932.json,
064058.json,079680.json,
045954.json,095772.json,
079168.json,023899.json,
085970.json,110081.json,
061725.json,028804.json,
078177.json,020007.json,
005053.json,098833.json,
081737.json,015468.json,
083433.json,077453.json,
002561.json,070094.json,
115403.json,036219.json,
047925.json,034879.json,
091978.json,115780.json,
119584.json,006079.json,
057831.json,009833.json,
069431.json,109362.json,
035465.json,035869.json,
110881.json,007119.json,
110578.json,084311.json,
008080.json,054758.json,
031290.json,112462.json,
075349.json,010530.json,
056114.json,014971.json,
118403.json,006388.json,
025560.json,003392.json,
016233.json,111111.json,
066542.json,030529.json,
012077.json,084984.json,
009230.json,013248.json,
043950.json,050238.json,
040096.json,107227.json,
100772.json,075741.json,
077556.json,082510.json,
082198.json,056589.json,
022972.json,024791.json,
108479.json,080534.json,
057138.json,111164.json,
059566.json,047015.json,
070721.json,047344.json,
044908.json,015766.json,
063721.json,075636.json,
021820.json,107352.json,
082730.json,056052.json,
011160.json,094956.json,
109857.json,118885.json,
015783.json,073871.json,
103322.json,058839.json,
071246.json,004127.json,
059320.json,101765.json,
118182.json,035938.json,
014031.json,094366.json,
027199.json,049830.json,
090866.json,035222.json,
099636.json,118792.json,
107949.json,004633.json,
013092.json,060656.json,
024994.json,023317.json,
008229.json,031022.json,
117447.json,027244.json,
028092.json,010227.json,
067183.json,008189.json,
043764.json,014071.json,
029978.json,100920.json,
036684.json,014889.json,
099099.json,114075.json,
103774.json,112904.json,
046991.json,025665.json,
040247.json,071089.json,
024208.json,033853.json,
085725.json,048679.json,
057623.json,116402.json,
043599.json,119539.json,
070033.json,043398.json,
025059.json,056650.json,
033217.json,035120.json,
020388.json,115879.json,
073148.json,071658.json,
074854.json,075978.json,
006979.json,055823.json,
110085.json,035691.json,
027274.json,077846.json,
009050.json,081357.json,
020741.json,098876.json,
028653.json,114945.json,
052892.json,070179.json,
035887.json,032353.json,
085638.json,004568.json,
083402.json,024358.json,
064030.json,054076.json,
071317.json,002042.json,
098920.json,006245.json,
105705.json,084383.json,
082965.json,107684.json,
094517.json,079026.json,
100329.json,022238.json,
110506.json,100778.json,
106287.json,077357.json,
061013.json,100206.json,
034764.json,059779.json,
107588.json,085870.json,
015529.json,035252.json,
003687.json,092177.json,
044485.json,027117.json,
104688.json,047242.json,
002237.json,104573.json,
064517.json,050582.json,
080331.json,064719.json,
026280.json,033467.json,
075816.json,079586.json,
087612.json,002818.json,
091175.json,088837.json,
026516.json,075240.json,
004443.json,092211.json,
007688.json,064808.json,
117081.json,077995.json,
050304.json,072274.json,
058506.json,107033.json,
116414.json,073688.json,
117244.json,018409.json,
064865.json,064084.json,
071982.json,027007.json,
046058.json,000266.json,
020411.json,000320.json,
095847.json,093299.json,
008458.json,080003.json,
103396.json,120438.json,
074078.json,075777.json,
014898.json,059653.json,
082196.json,018548.json,
112817.json,025646.json,
032404.json,037128.json,
029349.json,017454.json,
092552.json,040333.json,
101790.json,096843.json,
095825.json,033493.json,
113224.json,081819.json,
013230.json,075811.json,
019558.json,012203.json,
102373.json,116983.json,
059705.json,055608.json,
004221.json,034328.json,
046255.json,097912.json,
118330.json,083332.json,
101616.json,031212.json,
035972.json,071035.json,
071191.json,000365.json,
024221.json,041745.json,
016919.json,003506.json,
103541.json,053948.json,
010637.json,007181.json,
065594.json,044871.json,
022065.json,101679.json,
105955.json,012703.json,
074231.json,049207.json,
086186.json,101665.json,
035658.json,083652.json,
019768.json,005772.json,
023889.json,004054.json,
085286.json,004960.json,
086807.json,109537.json,
027584.json,095296.json,
048222.json,044351.json,
020521.json,106774.json,
097468.json,103853.json,
019469.json,026414.json,
090342.json,003445.json,
034249.json,040451.json,
031232.json,107400.json,
120294.json,022334.json,
097077.json,078870.json,
048330.json,111674.json,
006949.json,061468.json,
082625.json,033991.json,
049261.json,031911.json,
039802.json,120120.json,
057089.json,035275.json,
051398.json,092450.json,
031419.json,033650.json,
081887.json,054646.json,
070279.json,019052.json,
013071.json,072508.json,
071570.json,029508.json,
035427.json,027985.json,
070833.json,056512.json,
088154.json,042047.json,
059522.json,020678.json,
120546.json,100549.json,
021541.json,049000.json,
027682.json,097690.json,
058273.json,085170.json,
055687.json,034626.json,
083770.json,057747.json,
053962.json,092232.json,
098671.json,074381.json,
044878.json,015453.json,
003409.json,102588.json,
020368.json,042321.json,
117874.json,011514.json,
002088.json,048913.json,
100746.json,120185.json,
075656.json,041917.json,
019652.json,012822.json,
020895.json,004569.json,
098444.json,106832.json,
023240.json,035848.json,
010006.json,085802.json,
067788.json,002980.json,
047634.json,022948.json,
045556.json,020428.json,
099111.json,091686.json,
099471.json,018773.json,
084689.json,058848.json,
038549.json,099371.json,
044922.json,003889.json,
036168.json,052419.json,
100546.json,104760.json,
077234.json,066692.json,
070150.json,064646.json,
077066.json,099606.json,
113134.json,106972.json,
024059.json,041796.json,
044786.json,036421.json,
069178.json,078843.json,
095797.json,032079.json,
044070.json,113366.json,
004952.json,033119.json,
